method,bin,n,metric,mean,ci95
DSS warp,0–10,208,psnr,16.548147614185627,0.03366242748685185
DSS warp,0–10,208,lpips,0.4279426634311676,0.0012829475010408078
DSS warp,10–20,393,psnr,15.713086002048948,0.07163653850549305
DSS warp,10–20,393,lpips,0.41661270770407816,0.001541370202234795
DSS warp,20–30,476,psnr,15.325846928508343,0.04426188671392876
DSS warp,20–30,476,lpips,0.5343213026263133,0.004290836284819017
DSS warp,30–40,116,psnr,15.27183958579754,0.06413335564123789
DSS warp,30–40,116,lpips,0.5061391684515723,0.0030620365634347908
DSS warp,>40,199,psnr,13.417497826581025,0.03556124843350192
DSS warp,>40,199,lpips,0.6060161440815758,0.0016088390399749016
LaMa,0–10,208,psnr,17.71519747147193,0.10211791730442389
LaMa,0–10,208,lpips,0.32125179555553657,0.0020701345971338853
LaMa,10–20,393,psnr,19.713466384635325,0.10566822250912104
LaMa,10–20,393,lpips,0.2796098658146749,0.0016371882236192376
LaMa,20–30,476,psnr,19.875247157922313,0.15455674504566433
LaMa,20–30,476,lpips,0.39767660707736213,0.0023138928374898692
LaMa,30–40,116,psnr,19.001613699156664,0.08071449992686516
LaMa,30–40,116,lpips,0.3706233152027788,0.00257953938843049
LaMa,>40,199,psnr,20.18555413059254,0.059913101917436984
LaMa,>40,199,lpips,0.4047270951858118,0.0017033912400961037
LCM-LoRA,0–10,208,psnr,17.332683141414936,0.08210070224305412
LCM-LoRA,0–10,208,lpips,0.3980420120060444,0.0015865556433320434
LCM-LoRA,10–20,393,psnr,19.258848432972837,0.07414939989444896
LCM-LoRA,10–20,393,lpips,0.33797926415923896,0.0016043431930563555
LCM-LoRA,20–30,476,psnr,19.555381883092288,0.1548502766412916
LCM-LoRA,20–30,476,lpips,0.4334372585686315,0.0027084396384352383
LCM-LoRA,30–40,116,psnr,19.136911737507788,0.13325007798203273
LCM-LoRA,30–40,116,lpips,0.405330393848748,0.004034505001435586
LCM-LoRA,>40,199,psnr,22.08291843548492,0.0838585009859188
LCM-LoRA,>40,199,lpips,0.3678203949976207,0.0022013411101348135
DistriNVS (SF),0–10,208,psnr,20.76752139054812,0.11273420092482198
DistriNVS (SF),0–10,208,lpips,0.3656492782040284,0.0026675200310558715
DistriNVS (SF),10–20,393,psnr,23.01954448981443,0.10917837021329939
DistriNVS (SF),10–20,393,lpips,0.3930501819566916,0.001711470961747291
DistriNVS (SF),20–30,476,psnr,22.30922330728098,0.1965997500462446
DistriNVS (SF),20–30,476,lpips,0.4524539478686677,0.0038849175694633605
DistriNVS (SF),30–40,116,psnr,22.33719460717563,0.11374310257293593
DistriNVS (SF),30–40,116,lpips,0.3626663553817519,0.0023476707768931007
DistriNVS (SF),>40,199,psnr,26.988030668479116,0.10658236595748506
DistriNVS (SF),>40,199,lpips,0.3563885985307358,0.0015151311368173524
