method,sample_id,psnr,lpips
DSS warp,session_004_scene_2_tool_3/frame_000002,13.289606094360352,0.6072661876678467
DSS warp,session_004_scene_2_tool_3/frame_000005,13.312906265258789,0.6099421381950378
DSS warp,session_004_scene_2_tool_3/frame_000008,13.28398323059082,0.6042864918708801
DSS warp,session_004_scene_2_tool_3/frame_000011,13.311375617980957,0.6043018102645874
DSS warp,session_004_scene_2_tool_3/frame_000014,13.296375274658203,0.6009448766708374
DSS warp,session_004_scene_2_tool_3/frame_000017,13.314565658569336,0.6004637479782104
DSS warp,session_004_scene_2_tool_3/frame_000020,13.315485954284668,0.6019902229309082
DSS warp,session_004_scene_2_tool_3/frame_000023,13.326681137084961,0.6026358008384705
DSS warp,session_004_scene_2_tool_3/frame_000026,13.339645385742188,0.5992278456687927
DSS warp,session_004_scene_2_tool_3/frame_000029,13.377769470214844,0.6013514399528503
DSS warp,session_004_scene_2_tool_3/frame_000032,13.363786697387695,0.5992925763130188
DSS warp,session_004_scene_2_tool_3/frame_000035,13.386378288269043,0.5989269018173218
DSS warp,session_004_scene_2_tool_3/frame_000038,13.383746147155762,0.6004855632781982
DSS warp,session_004_scene_2_tool_3/frame_000041,13.386837005615234,0.5995745062828064
DSS warp,session_004_scene_2_tool_3/frame_000044,13.380250930786133,0.5961340665817261
DSS warp,session_004_scene_2_tool_3/frame_000047,13.40835952758789,0.5946676731109619
DSS warp,session_004_scene_2_tool_3/frame_000050,13.409494400024414,0.595065712928772
DSS warp,session_004_scene_2_tool_3/frame_000053,13.419376373291016,0.5963194966316223
DSS warp,session_004_scene_2_tool_3/frame_000056,13.381820678710938,0.5966506600379944
DSS warp,session_004_scene_2_tool_3/frame_000059,13.378337860107422,0.5995128154754639
DSS warp,session_004_scene_2_tool_3/frame_000062,13.34173583984375,0.6040409803390503
DSS warp,session_004_scene_2_tool_3/frame_000065,13.319531440734863,0.6056795120239258
DSS warp,session_004_scene_2_tool_3/frame_000068,13.29541301727295,0.6076036095619202
DSS warp,session_004_scene_2_tool_3/frame_000071,13.292340278625488,0.6053295731544495
DSS warp,session_004_scene_2_tool_3/frame_000074,13.276748657226562,0.6101236343383789
DSS warp,session_004_scene_2_tool_3/frame_000077,13.294211387634277,0.6049873232841492
DSS warp,session_004_scene_2_tool_3/frame_000080,13.309886932373047,0.606995165348053
DSS warp,session_004_scene_2_tool_3/frame_000083,13.339618682861328,0.6047526001930237
DSS warp,session_004_scene_2_tool_3/frame_000086,13.363265037536621,0.6092325448989868
DSS warp,session_004_scene_2_tool_3/frame_000089,13.351187705993652,0.60663902759552
DSS warp,session_004_scene_2_tool_3/frame_000092,13.376827239990234,0.6080964207649231
DSS warp,session_004_scene_2_tool_3/frame_000095,13.389881134033203,0.6059302091598511
DSS warp,session_004_scene_2_tool_3/frame_000098,13.382597923278809,0.6096745729446411
DSS warp,session_004_scene_2_tool_3/frame_000101,13.399857521057129,0.6107867956161499
DSS warp,session_004_scene_2_tool_3/frame_000104,13.371695518493652,0.6128672957420349
DSS warp,session_004_scene_2_tool_3/frame_000107,13.401975631713867,0.6100640296936035
DSS warp,session_004_scene_2_tool_3/frame_000110,13.379231452941895,0.6107639670372009
DSS warp,session_004_scene_2_tool_3/frame_000113,13.384900093078613,0.6110166907310486
DSS warp,session_004_scene_2_tool_3/frame_000116,13.356901168823242,0.6113875508308411
DSS warp,session_004_scene_2_tool_3/frame_000119,13.366652488708496,0.6094977855682373
DSS warp,session_004_scene_2_tool_3/frame_000122,13.307114601135254,0.6131914854049683
DSS warp,session_004_scene_2_tool_3/frame_000125,13.31218147277832,0.6109681129455566
DSS warp,session_004_scene_2_tool_3/frame_000128,13.288589477539062,0.6120470762252808
DSS warp,session_004_scene_2_tool_3/frame_000131,13.307531356811523,0.6101811528205872
DSS warp,session_004_scene_2_tool_3/frame_000134,13.318153381347656,0.609102189540863
DSS warp,session_004_scene_2_tool_3/frame_000137,13.337798118591309,0.606364369392395
DSS warp,session_004_scene_2_tool_3/frame_000140,13.332986831665039,0.6099827885627747
DSS warp,session_004_scene_2_tool_3/frame_000143,13.33676528930664,0.6074948310852051
DSS warp,session_004_scene_2_tool_3/frame_000146,13.330079078674316,0.6075180172920227
DSS warp,session_004_scene_2_tool_3/frame_000149,13.356337547302246,0.6077151298522949
DSS warp,session_004_scene_2_tool_3/frame_000152,13.342598915100098,0.6078823804855347
DSS warp,session_004_scene_2_tool_3/frame_000155,13.363056182861328,0.607250988483429
DSS warp,session_004_scene_2_tool_3/frame_000158,13.370848655700684,0.6073762774467468
DSS warp,session_004_scene_2_tool_3/frame_000161,13.377095222473145,0.6100798845291138
DSS warp,session_004_scene_2_tool_3/frame_000164,13.34309196472168,0.6131411790847778
DSS warp,session_004_scene_2_tool_3/frame_000167,13.377092361450195,0.6118459105491638
DSS warp,session_004_scene_2_tool_3/frame_000170,13.31403923034668,0.6131049394607544
DSS warp,session_004_scene_2_tool_3/frame_000173,13.327116966247559,0.6110562086105347
DSS warp,session_004_scene_2_tool_3/frame_000176,13.30186653137207,0.61388099193573
DSS warp,session_004_scene_2_tool_3/frame_000179,13.317882537841797,0.6058590412139893
DSS warp,session_004_scene_2_tool_3/frame_000182,13.286523818969727,0.6098611950874329
DSS warp,session_004_scene_2_tool_3/frame_000185,13.26773452758789,0.6108845472335815
DSS warp,session_004_scene_2_tool_3/frame_000188,13.218626976013184,0.6085349917411804
DSS warp,session_004_scene_2_tool_3/frame_000191,13.19466495513916,0.6120861768722534
DSS warp,session_004_scene_2_tool_3/frame_000194,13.145233154296875,0.6073526740074158
DSS warp,session_004_scene_2_tool_3/frame_000197,13.155622482299805,0.6040833592414856
DSS warp,session_004_scene_2_tool_3/frame_000200,13.147517204284668,0.6097944974899292
DSS warp,session_004_scene_2_tool_3/frame_000203,13.165374755859375,0.6054525375366211
DSS warp,session_004_scene_2_tool_3/frame_000206,13.204136848449707,0.6032654047012329
DSS warp,session_004_scene_2_tool_3/frame_000209,13.234197616577148,0.604638934135437
DSS warp,session_004_scene_2_tool_3/frame_000212,13.223123550415039,0.6056284308433533
DSS warp,session_004_scene_2_tool_3/frame_000215,13.261221885681152,0.6028754115104675
DSS warp,session_004_scene_2_tool_3/frame_000218,13.275249481201172,0.6075266599655151
DSS warp,session_004_scene_2_tool_3/frame_000221,13.300443649291992,0.602613091468811
DSS warp,session_004_scene_2_tool_3/frame_000224,13.275215148925781,0.6077218055725098
DSS warp,session_004_scene_2_tool_3/frame_000227,13.262887001037598,0.6071658134460449
DSS warp,session_004_scene_2_tool_3/frame_000230,13.194795608520508,0.6032873392105103
DSS warp,session_004_scene_2_tool_3/frame_000233,13.180092811584473,0.6127866506576538
DSS warp,session_004_scene_2_tool_3/frame_000236,13.158970832824707,0.6113141775131226
DSS warp,session_004_scene_2_tool_3/frame_000239,13.194253921508789,0.6191490888595581
DSS warp,session_004_scene_2_tool_3/frame_000242,13.231927871704102,0.6156185865402222
DSS warp,session_004_scene_2_tool_3/frame_000245,13.28518295288086,0.6153056621551514
