figure,panel,row,row_label,column,column_label,sample_id,scene,frame_id,raw_overlap,raw_hole_ratio,method_degenerate,selection_rule,psnr_db,metric_annotation,source_path,source_width_px,source_height_px,display_width_px,display_height_px,display_transform
table1_qualitative_comparison,a_gaussian_reconstruction,1,58.6% hole,1,Source RGB,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,,100th retained pair in lexicographically first/last iMED validation scene,,,/home/data/mashixing/dataset_8tb/iMed/datasets/task2-nvs/session_004_scene_2_tool_3/endoscope2/L/frame_000299.png,1280,1024,640,512,resize_to_target_lanczos_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,1,58.6% hole,2,Deform3DGS,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,15.05460548,PSNR 15.05,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/Deform3DGS/output/imed_nvs/session_004_scene_2_tool_3/test/ours_30000/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,1,58.6% hole,3,Endo-4DGS,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,15.92777729,PSNR 15.93,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/Endo-4DGS/output/imed_nvs/session_004_scene_2_tool_3/test/ours_30000/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,1,58.6% hole,4,Free-SurGS,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,13.18333626,PSNR 13.18,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/Free-SurGS/outputs/imed_nvs/session_004_scene_2_tool_3/test_results/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,1,58.6% hole,5,SurgicalGS,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,16.60619354,PSNR 16.61,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/SurgicalGS/output/imed_nvs/session_004_scene_2_tool_3/test/ours_30000/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,1,58.6% hole,6,PR-ENDO,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,13.72892475,PSNR 13.73,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/SurgicalGaussian/PR-ENDO/output_imed_nvs/session_004_scene_2_tool_3/test/ours_40000/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,1,58.6% hole,7,EndoGS,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,True,100th retained pair in lexicographically first/last iMED validation scene,2.98265076,PSNR 2.98,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/EndoGS/output/imed_nvs/session_004_scene_2_tool_3/point_cloud/iteration_60000/render/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,1,58.6% hole,8,EndoGaussian,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,16.26337242,PSNR 16.26,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/EndoGaussian/output/imed_nvs/session_004_scene_2_tool_3/test/ours_30000/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,2,29.2% hole,1,Source RGB,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,,100th retained pair in lexicographically first/last iMED validation scene,,,/home/data/mashixing/dataset_8tb/iMed/datasets/task2-nvs/session_007_scene_5_tool_2/endoscope2/L/frame_000299.png,1280,1024,640,512,resize_to_target_lanczos_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,2,29.2% hole,2,Deform3DGS,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,15.28822422,PSNR 15.29,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/Deform3DGS/output/imed_nvs/session_007_scene_5_tool_2/test/ours_30000/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,2,29.2% hole,3,Endo-4DGS,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,15.90860748,PSNR 15.91,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/Endo-4DGS/output/imed_nvs/session_007_scene_5_tool_2/test/ours_30000/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,2,29.2% hole,4,Free-SurGS,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,16.40810585,PSNR 16.41,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/Free-SurGS/outputs/imed_nvs/session_007_scene_5_tool_2/test_results/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,2,29.2% hole,5,SurgicalGS,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,15.30604839,PSNR 15.31,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/SurgicalGS/output/imed_nvs/session_007_scene_5_tool_2/test/ours_30000/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,2,29.2% hole,6,PR-ENDO,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,16.14527512,PSNR 16.15,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/SurgicalGaussian/PR-ENDO/output_imed_nvs/session_007_scene_5_tool_2/test/ours_40000/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,2,29.2% hole,7,EndoGS,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,14.55035591,PSNR 14.55,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/EndoGS/output/imed_nvs/session_007_scene_5_tool_2/point_cloud/iteration_60000/render/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,a_gaussian_reconstruction,2,29.2% hole,8,EndoGaussian,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,True,100th retained pair in lexicographically first/last iMED validation scene,10.26485538,PSNR 10.26,/home/data/mashixing/dataset_8tb/iMed/comparison/task2/EndoGaussian/output/imed_nvs/session_007_scene_5_tool_2/test/ours_30000/renders/00099.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,1,58.6% hole,1,DSS warp,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,,100th retained pair in lexicographically first/last iMED validation scene,,,/home/data20tb/shixingma/icra-2027/results/validation/generic_inpainting/session_004_scene_2_tool_3/warps/warped_rgb/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,1,58.6% hole,2,LDM,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,11.19082260,PSNR 11.19,/home/data20tb/shixingma/icra-2027/results/validation/generic_inpainting/comparison_methods/predictions/sd15/session_004_scene_2_tool_3/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,1,58.6% hole,3,LaMa,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,20.49942970,PSNR 20.50,/home/data20tb/shixingma/icra-2027/results/validation/generic_inpainting/comparison_methods/predictions/lama/session_004_scene_2_tool_3/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,1,58.6% hole,4,LCM-LoRA,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,21.90410995,PSNR 21.90,/home/data20tb/shixingma/icra-2027/results/validation/supervised_lora/session_004_scene_2_tool_3/results/endo1_supervised_rank32_step2500/lcm/final/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,1,58.6% hole,5,Hunyuan-DiT,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,21.08836746,PSNR 21.09,/home/data20tb/shixingma/icra-2027/results/validation/hunyuan_completion/parts/gpu3/inference/session_004_scene_2_tool_3/frame_000299_completed.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,1,58.6% hole,6,DistriNVS,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,False,100th retained pair in lexicographically first/last iMED validation scene,26.90180206,PSNR 26.90,/home/data20tb/shixingma/icra-2027/outputs/ablations_validation_no_post/no_hard_composition/seed_6666/session_004_scene_2_tool_3/renders/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,1,58.6% hole,7,Target RGB,session_004_scene_2_tool_3/frame_000299,session_004_scene_2_tool_3,299,0.4143005311489105,0.5856994986534119,,100th retained pair in lexicographically first/last iMED validation scene,,,/home/data20tb/shixingma/icra-2027/outputs/ablations_validation_no_post/no_hard_composition/seed_6666/session_004_scene_2_tool_3/targets/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,2,29.2% hole,1,DSS warp,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,,100th retained pair in lexicographically first/last iMED validation scene,,,/home/data20tb/shixingma/icra-2027/results/validation/generic_inpainting/session_007_scene_5_tool_2/warps/warped_rgb/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,2,29.2% hole,2,LDM,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,14.15795422,PSNR 14.16,/home/data20tb/shixingma/icra-2027/results/validation/generic_inpainting/comparison_methods/predictions/sd15/session_007_scene_5_tool_2/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,2,29.2% hole,3,LaMa,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,18.15348244,PSNR 18.15,/home/data20tb/shixingma/icra-2027/results/validation/generic_inpainting/comparison_methods/predictions/lama/session_007_scene_5_tool_2/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,2,29.2% hole,4,LCM-LoRA,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,17.16098404,PSNR 17.16,/home/data20tb/shixingma/icra-2027/results/validation/supervised_lora/session_007_scene_5_tool_2/results/endo1_supervised_rank32_step2500/lcm/final/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,2,29.2% hole,5,Hunyuan-DiT,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,18.32113075,PSNR 18.32,/home/data20tb/shixingma/icra-2027/results/validation/hunyuan_completion/parts/gpu1/inference/session_007_scene_5_tool_2/frame_000299_completed.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,2,29.2% hole,6,DistriNVS,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,False,100th retained pair in lexicographically first/last iMED validation scene,19.52093506,PSNR 19.52,/home/data20tb/shixingma/icra-2027/outputs/ablations_validation_no_post/no_hard_composition/seed_6666/session_007_scene_5_tool_2/renders/frame_000299.png,640,512,640,512,identity_no_crop
table1_qualitative_comparison,b_image_completion,2,29.2% hole,7,Target RGB,session_007_scene_5_tool_2/frame_000299,session_007_scene_5_tool_2,299,0.7080078125,0.2919921875,,100th retained pair in lexicographically first/last iMED validation scene,,,/home/data20tb/shixingma/icra-2027/outputs/ablations_validation_no_post/no_hard_composition/seed_6666/session_007_scene_5_tool_2/targets/frame_000299.png,640,512,640,512,identity_no_crop
