figure,panel,row,row_label,column,column_label,sample_id,scene,frame_id,raw_overlap,raw_hole_ratio,method_degenerate,selection_margin_psnr,selection_best_competitor,selection_best_competitor_psnr,selection_rule,psnr_db,metric_annotation,source_path,source_width_px,source_height_px,display_width_px,display_height_px,display_transform
table2_zeroshot_qualitative_comparison,endovis_zero_shot,1,29.4% hole,1,Source RGB,endovis_dataset_8_keyframe_3/frame_000005,endovis_dataset_8_keyframe_3,5,0.7057769894599915,0.29422304034233093,,8.307842254638672,lama,19.207399368286133,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",,,/home/data20tb/shixingma/icra2027-diffusion-zero-test-dataset/endovis-final-more-data/endovis_dataset_8_keyframe_3/endoscope2/L/frame_000005.png,1280,1024,640,512,resize_to_target_bilinear_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,1,29.4% hole,2,DSS warp,endovis_dataset_8_keyframe_3/frame_000005,endovis_dataset_8_keyframe_3,5,0.7057769894599915,0.29422304034233093,,8.307842254638672,lama,19.207399368286133,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",,,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/completion/endovis_dataset_8_keyframe_3/warps/warped_rgb/frame_000005.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,1,29.4% hole,3,LDM,endovis_dataset_8_keyframe_3/frame_000005,endovis_dataset_8_keyframe_3,5,0.7057769894599915,0.29422304034233093,False,8.307842254638672,lama,19.207399368286133,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",18.39965820,PSNR 18.40,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/completion/comparison_methods/predictions/sd15/endovis_dataset_8_keyframe_3/frame_000005.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,1,29.4% hole,4,LaMa,endovis_dataset_8_keyframe_3/frame_000005,endovis_dataset_8_keyframe_3,5,0.7057769894599915,0.29422304034233093,False,8.307842254638672,lama,19.207399368286133,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",19.20739937,PSNR 19.21,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/completion/comparison_methods/predictions/lama/endovis_dataset_8_keyframe_3/frame_000005.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,1,29.4% hole,5,LCM-LoRA,endovis_dataset_8_keyframe_3/frame_000005,endovis_dataset_8_keyframe_3,5,0.7057769894599915,0.29422304034233093,False,8.307842254638672,lama,19.207399368286133,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",13.03352928,PSNR 13.03,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/completion/endovis_dataset_8_keyframe_3/results/endo1_supervised_rank32_step2500/lcm/final/frame_000005.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,1,29.4% hole,6,Hunyuan-DiT,endovis_dataset_8_keyframe_3/frame_000005,endovis_dataset_8_keyframe_3,5,0.7057769894599915,0.29422304034233093,False,8.307842254638672,lama,19.207399368286133,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",15.82470036,PSNR 15.82,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/hunyuan_completion/parts/gpu3/inference/endovis_dataset_8_keyframe_3/frame_000005_completed.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,1,29.4% hole,7,DistriNVS,endovis_dataset_8_keyframe_3/frame_000005,endovis_dataset_8_keyframe_3,5,0.7057769894599915,0.29422304034233093,False,8.307842254638672,lama,19.207399368286133,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",27.51524162,PSNR 27.52,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/distrinvs_soft_train_hard_guard/endovis_dataset_8_keyframe_3/renders/frame_000005.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,1,29.4% hole,8,Target RGB,endovis_dataset_8_keyframe_3/frame_000005,endovis_dataset_8_keyframe_3,5,0.7057769894599915,0.29422304034233093,,8.307842254638672,lama,19.207399368286133,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",,,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/distrinvs_soft/endovis_dataset_8_keyframe_3/targets/frame_000005.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,2,18.9% hole,1,Source RGB,endovis_dataset_9_keyframe_0/frame_000067,endovis_dataset_9_keyframe_0,67,0.810546875,0.189453125,,2.1769161224365234,lama,20.11604118347168,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",,,/home/data20tb/shixingma/icra2027-diffusion-zero-test-dataset/endovis-final-more-data/endovis_dataset_9_keyframe_0/endoscope2/L/frame_000067.png,1280,1024,640,512,resize_to_target_bilinear_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,2,18.9% hole,2,DSS warp,endovis_dataset_9_keyframe_0/frame_000067,endovis_dataset_9_keyframe_0,67,0.810546875,0.189453125,,2.1769161224365234,lama,20.11604118347168,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",,,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/completion/endovis_dataset_9_keyframe_0/warps/warped_rgb/frame_000067.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,2,18.9% hole,3,LDM,endovis_dataset_9_keyframe_0/frame_000067,endovis_dataset_9_keyframe_0,67,0.810546875,0.189453125,False,2.1769161224365234,lama,20.11604118347168,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",16.13128471,PSNR 16.13,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/completion/comparison_methods/predictions/sd15/endovis_dataset_9_keyframe_0/frame_000067.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,2,18.9% hole,4,LaMa,endovis_dataset_9_keyframe_0/frame_000067,endovis_dataset_9_keyframe_0,67,0.810546875,0.189453125,False,2.1769161224365234,lama,20.11604118347168,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",20.11604118,PSNR 20.12,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/completion/comparison_methods/predictions/lama/endovis_dataset_9_keyframe_0/frame_000067.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,2,18.9% hole,5,LCM-LoRA,endovis_dataset_9_keyframe_0/frame_000067,endovis_dataset_9_keyframe_0,67,0.810546875,0.189453125,False,2.1769161224365234,lama,20.11604118347168,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",15.20868874,PSNR 15.21,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/completion/endovis_dataset_9_keyframe_0/results/endo1_supervised_rank32_step2500/lcm/final/frame_000067.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,2,18.9% hole,6,Hunyuan-DiT,endovis_dataset_9_keyframe_0/frame_000067,endovis_dataset_9_keyframe_0,67,0.810546875,0.189453125,False,2.1769161224365234,lama,20.11604118347168,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",11.88984680,PSNR 11.89,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/hunyuan_completion/parts/gpu0/inference/endovis_dataset_9_keyframe_0/frame_000067_completed.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,2,18.9% hole,7,DistriNVS,endovis_dataset_9_keyframe_0/frame_000067,endovis_dataset_9_keyframe_0,67,0.810546875,0.189453125,False,2.1769161224365234,lama,20.11604118347168,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",22.29295731,PSNR 22.29,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/distrinvs_soft_train_hard_guard/endovis_dataset_9_keyframe_0/renders/frame_000067.png,640,512,640,512,identity_no_crop
table2_zeroshot_qualitative_comparison,endovis_zero_shot,2,18.9% hole,8,Target RGB,endovis_dataset_9_keyframe_0/frame_000067,endovis_dataset_9_keyframe_0,67,0.810546875,0.189453125,,2.1769161224365234,lama,20.11604118347168,"largest positive DistriNVS PSNR margin per dataset, raw hole >= 0.10",,,/home/data20tb/shixingma/icra-2027/results/zeroshot/endovis_final_more_275/distrinvs_soft/endovis_dataset_9_keyframe_0/targets/frame_000067.png,640,512,640,512,identity_no_crop
